company_name,domain_name,stars,reviews,full_address,details_adress,position,hours,marcket_site,web_site,email,phone_number
Abbot's Pizza Company,Pizza restaurant,4.3 stars ,801 reviews,"1407 Abbot Kinney Blvd, Venice, CA 90291, United States",,"XGRM+8Q Venice, Los Angeles, CA, USA",,,http://www.abbotspizzaco.com/,,+1 3103967334
Pizza Boy,Pizza restaurant,4.6 stars ,376 reviews,"1321 E Colorado St, Glendale, CA 91205, United States",,"4QV7+58 Glendale, California, USA",,,http://www.pizzaboy.us/,,+1 8182475555
Rocco's Neighborhood Pizza,Pizza restaurant,4.4 stars ,643 reviews,"6335 Wilshire Blvd, Los Angeles, CA 90048, United States",,"3J7M+F9 Los Angeles, California, USA",,,https://roccospizza.la/?y_source=1_MTA0NTQzNzk3MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,+1 3236550058
Fernanda's NY Pizza,Pizza restaurant,4.6 stars ,367 reviews,"10604 Ventura Blvd, Studio City, CA 91604, United States",,"4JPP+VF Studio City, Los Angeles, CA, USA",,,https://www.fernandasstudiocity.com/,,+1 8187622335
Mulberry Street Pizzeria,Pizza restaurant,4.3 stars ,445 reviews,"240 S Beverly Dr, Beverly Hills, CA 90212, United States",,"3J72+9F Beverly Hills, California, USA",,,http://www.mulberrypizzeria.com/,,+1 3102478100
RED DEVIL PIZZA*COVINA*,Pizza restaurant,4.4 stars ,799 reviews,"116 W Badillo St, Covina, CA 91724, United States",,"34P5+FP Covina, California, USA",,,http://www.reddevilpizzacovina.com/,,+1 6269664484
Chicago Stuffed Pizza Co.,Pizza restaurant,4.5 stars ,259 reviews,"7965 Melrose Ave, Los Angeles, CA 90046, United States",,"3JMP+HM Los Angeles, California, USA",,,https://www.chicagostuffedpizzacomenu.com/?utm_source=gbp,,+1 3238799773
Waleeto's Pizza,Pizza restaurant,4.6 stars ,340 reviews,"3914 Rosecrans Ave #8020, Hawthorne, CA 90250, United States",,"WM25+63 Hawthorne, California, USA",,,https://www.waleetospizza.com/?utm_source=gbp,,+1 3106751111
Joe Peeps' NY Pizza,Pizza restaurant,4.5 stars ,651 reviews,"12460 Magnolia Blvd, Valley Village, CA 91607, United States",,"5H7V+VX Valley Village, Los Angeles, CA, USA",,,http://www.joepeeps.com/,,+1 8185064133
Papa Guido's Pizza,Pizza restaurant,4.5 stars ,403 reviews,"1521 Aviation Blvd, Redondo Beach, CA 90278, United States",,"VJ98+GQ Redondo Beach, California, USA",,,http://www.papaguidos.com/,,+1 3109378000
Persepolis Pizza & Subs,Pizza restaurant,4.7 stars ,320 reviews,"6900 Reseda Blvd # G, Reseda, CA 91335, United States",,"5FW7+9Q Reseda, Los Angeles, CA, USA",,,https://persepolissubs.com/,,+1 8187586916
Mr. Pizza,Pizza restaurant,4.6 stars ,335 reviews,"14851 Victory Blvd # H, Van Nuys, CA 91411, United States",,"5GPV+Q6 Van Nuys, Los Angeles, CA, USA",,,https://mrpizzavannuys.com/,,+1 8189940094
Vincenzo's Pizza of NoHo,Pizza restaurant,4.6 stars ,94 reviews,"11310 Vanowen St, North Hollywood, CA 91605, United States",,"5JVF+C3 North Hollywood, Los Angeles, CA, USA",,,https://vincenzospizzanoho.com/?utm_source=google,,+1 8183582690
Prime Pizza,Pizza restaurant,4.4 stars ,492 reviews,"603 N Hollywood Way, Burbank, CA 91505, United States",,"5M64+C8 Burbank, California, USA",,,http://www.primepizza.la/,,+1 8187365120
Pitfire Pizza,Pizza restaurant,4.4 stars ,"1,079 reviews","12924 W Washington Blvd, Los Angeles, CA 90066, United States",,"XHV6+VF Los Angeles, California, USA",,,http://pitfirepizza.com/,,+1 4248354088
Mario's Pizza,Pizza restaurant,4.5 stars ,276 reviews,"4510 Inglewood Blvd, Los Angeles, CA 90230, United States",,"XHVM+W3 Los Angeles, California, USA",,,http://www.mariospizzaculvercity.com/,,+1 3108819905
Joe's Pizza Mid-City,Pizza restaurant,4.3 stars ,115 reviews,"5504 W Pico Blvd, Los Angeles, CA 90019, United States",,"2JXR+JP Los Angeles, California, USA",,,https://joespizza.it/menu/,,+1 3239875959
Beach Pizza,Pizza restaurant,4.4 stars ,352 reviews,"3301 Highland Ave, Manhattan Beach, CA 90266, United States",,"VHXM+96 Manhattan Beach, California, USA",,,https://www.eatbeachpizza.com/,,+1 3105465401
Numero Uno Pizza | North Hollywood,Pizza restaurant,4.5 stars ,492 reviews,"6420 1/2 Coldwater Canyon Ave, Valley Glen, CA 91606, United States",,"5HPP+XJ Valley Glen, Los Angeles, CA, USA",,,https://nunoho.com/,,+1 8187667184
